es1,fs_class_min,fs_class_max,unit
USA,1,9.9,acres
USA,10,49.9,acres
USA,50,69.9,acres
USA,70,99.9,acres
USA,100,139,acres
USA,140,179,acres
USA,180,219,acres
USA,220,259,acres
USA,260,499,acres
USA,500,999,acres
USA,1000,1999,acres
USA,2000,,acres
IND,,0.5,hectares
IND,0.5,1,hectares
IND,1,2,hectares
IND,2,3,hectares
IND,3,4,hectares
IND,4,5,hectares
IND,5,7.5,hectares
IND,7.5,10,hectares
IND,10,20,hectares
IND,20,,hectares
BRA,0,0.1,hectares
BRA,0.1,0.2,hectares
BRA,0.2,0.5,hectares
BRA,0.5,1,hectares
BRA,1,2,hectares
BRA,2,3,hectares
BRA,3,4,hectares
BRA,4,5,hectares
BRA,5,10,hectares
BRA,10,20,hectares
BRA,20,50,hectares
BRA,50,100,hectares
BRA,100,200,hectares
BRA,200,500,hectares
BRA,500,1000,hectares
BRA,1000,2500,hectares
BRA,2500,,hectares
ETH,,0.1,hectares
ETH,0.1,0.5,hectares
ETH,0.51,1,hectares
ETH,1.01,2,hectares
ETH,2.01,5,hectares
ETH,5.01,10,hectares
ETH,10,,hectares
COS,,1,hectares
COS,1,2,hectares
COS,2,3,hectares
COS,3,4,hectares
COS,4,5,hectares
COS,5,10,hectares
COS,10,20,hectares
COS,20,50,hectares
COS,50,100,hectares
COS,100,,hectares
PAR,,1,hectares
PAR,1,5,hectares
PAR,5,10,hectares
PAR,10,20,hectares
PAR,20,50,hectares
PAR,50,100,hectares
PAR,100,200,hectares
PAR,200,500,hectares
PAR,500,1000,hectares
PAR,1000,5000,hectares
PAR,5000,10000,hectares
PAR,10000,,hectares
EU,,2,hectares
EU,2,4.9,hectares
EU,5,9.9,hectares
EU,10,19.9,hectares
EU,20,29.9,hectares
EU,30,49.9,hectares
EU,50,99.9,hectares
EU,100,,hectares
ZAF,,0.5,hectares
ZAF,0.5,1,hectares
ZAF,1,5,hectares
ZAF,6,10,hectares
ZAF,11,20,hectares
