"r1","id1","grp","es1","r3","id2","id3","div"
"mahalapye1","3","103","BWA",NA,NA,NA,NA
"mahalapye1","4","103","BWA",NA,NA,NA,NA
"plapye1","5","0","BWA",NA,NA,NA,NA
"serowe1","7","102","BWA",NA,NA,NA,NA
"serowe1","2","102","BWA",NA,NA,NA,NA
"mmadinare1","1","106","BWA",NA,NA,NA,NA
"mmadinare1","6","106","BWA",NA,NA,NA,NA
"tutume1","9","108","BWA",NA,NA,NA,NA
"tati1","19","108","BWA",NA,NA,NA,NA
"tati1","8","108","BWA",NA,NA,NA,NA
"ghanzi1","10","110","BWA",NA,NA,NA,NA
"ghanzi1","11","110","BWA",NA,NA,NA,NA
"kgalagadi1","12","112","BWA",NA,NA,NA,NA
"kgalagadi1","13","112","BWA",NA,NA,NA,NA
"bamalete1","14","14","BWA",NA,NA,NA,NA
"kgatleng1","15","0","BWA",NA,NA,NA,NA
"kwenentnorth1","16","115","BWA",NA,NA,NA,NA
"kwenengsouth1","17","115","BWA",NA,NA,NA,NA
"kwenengsouth1","18","115","BWA",NA,NA,NA,NA
"chobe1","20","0","BWA",NA,NA,NA,NA
"ngamilandeast1","21","21","BWA",NA,NA,NA,NA
"ngamilandwest1","21","21","BWA",NA,NA,NA,NA
"barolong1","25","0","BWA",NA,NA,NA,NA
"ngwaketsenorth1","27","126","BWA",NA,NA,NA,NA
"ngwaketsesouth1","28","126","BWA",NA,NA,NA,NA
"ngwaketsesouth1","26","126","BWA",NA,NA,NA,NA
"ngwaketsesouth1","29","126","BWA",NA,NA,NA,NA
"francistownregion","2","0","BWA",NA,NA,NA,NA
"gaboroneregion","4","0","BWA",NA,NA,NA,NA
"maunregion","7","0","BWA",NA,NA,NA,NA
"southernregion","9","0","BWA",NA,NA,NA,NA
"westernregion","3","0","BWA",NA,NA,NA,NA
"centralregion","1","0","BWA",NA,NA,NA,NA
"aldaleh","4","0","YEM",NA,NA,NA,NA
"hadramout","12","0","YEM",NA,NA,NA,NA
"raimeh","17","0","YEM",NA,NA,NA,NA
"hodeidah","5","0","YEM",NA,NA,NA,NA
"sanaacity","19","1","YEM",NA,NA,NA,NA
"haja","13","0","YEM",NA,NA,NA,NA
"rayma","17","0","YEM",NA,NA,NA,NA
"alhodaida","5","0","YEM",NA,NA,NA,NA
"hadramot","12","0","YEM",NA,NA,NA,NA
"aljof","6","0","YEM",NA,NA,NA,NA
"aldale","4","0","YEM",NA,NA,NA,NA
"almana","9","0","YEM",NA,NA,NA,NA
"addali","4","0","YEM",NA,NA,NA,NA
"hadramaut","12","0","YEM",NA,NA,NA,NA
"sadah","18","0","YEM",NA,NA,NA,NA
"mekongdelta","1","0","VNM",NA,NA,NA,NA
"highlands","8","0","VNM",NA,NA,NA,NA
"northcentralandcentralcoastal","5","0","VNM",NA,NA,NA,NA
"northcentralandcentralcoastal","6","0","VNM",NA,NA,NA,NA
"northcentralandcentralcoastal","7","0","VNM",NA,NA,NA,NA
"midlandandnorthernmountainous","7","0","VNM",NA,NA,NA,NA
"midlandandnorthernmountainous","3","0","VNM",NA,NA,NA,NA
"midlandandnorthernmountainous","4","0","VNM",NA,NA,NA,NA
"redriverdelta1","3","0","VNM",NA,NA,NA,NA
"northcentralandcentralcoastal","4","0","VNM",NA,NA,NA,NA
"northcentralandcentralcoastal","2","0","VNM",NA,NA,NA,NA
"redriverdelta1","2","0","VNM",NA,NA,NA,NA
"northeastuk","1","0","GBR",NA,NA,NA,NA
"northwestuk","2","0","GBR",NA,NA,NA,NA
"eastmidlandsuk","4","0","GBR",NA,NA,NA,NA
"westmidlandsuk","5","0","GBR",NA,NA,NA,NA
"southeastuk","8","113","GBR",NA,NA,NA,NA
"southwestuk","9","0","GBR",NA,NA,NA,NA
"northernirelanduk","12","0","GBR",NA,NA,NA,NA
"northnuts95","1","0","GBR",NA,NA,NA,NA
"southeastuknuts95","8","113","GBR",NA,NA,NA,NA
"northwestuknuts95","2","0","GBR",NA,NA,NA,NA
"cityofportofspain","7","0","TTO",NA,NA,NA,NA
"cityofsanfernando","9","0","TTO",NA,NA,NA,NA
"boroughofpointfortin","6","0","TTO",NA,NA,NA,NA
"boroughofchaguanas","1","0","TTO",NA,NA,NA,NA
"rioclaromayaro","4","0","TTO",NA,NA,NA,NA
"boroughofarima","14","14","TTO",NA,NA,NA,NA
"northeastern","1","4","THA",NA,NA,NA,NA
"central","2","3","THA",NA,NA,NA,NA
