NAME,Year,Type,Subject,es1,class,percent_total,fs_class_min_out,fs_class_max_out,fs_class_min_in,fs_class_max_in,per,corr_type,
Austria,1999-2000,Agricultural area ,Total area,AUT,a,NA,0,1,0,2,0,wca_dist,
Austria,1999-2000,Agricultural area ,Total area,AUT,b,2.18763456,1,2,0,2,100,wca_dist,
Austria,1999-2000,Agricultural area ,Total area,AUT,c,5.251439833,2,5,2,4,100,wca_dist,
Austria,1999-2000,Agricultural area ,Total area,AUT,d,9.652132892,5,10,5,9,100,wca_dist,
Austria,1999-2000,Agricultural area ,Total area,AUT,e,17.76589694,10,20,10,19,100,wca_dist,
Austria,1999-2000,Agricultural area ,Total area,AUT,f,24.04693289,20,50,20,29,100,wca_dist,
Austria,1999-2000,Agricultural area ,Total area,AUT,f,24.04693289,20,50,30,49,100,wca_dist,
Austria,1999-2000,Agricultural area ,Total area,AUT,g,9.5595486,50,100,50,99,100,wca_dist,
Austria,1999-2000,Agricultural area ,Total area,AUT,h,31.53641428,100,200,100,NA,100,wca_dist,
Austria,1999-2000,Agricultural area ,Total area,AUT,i,NA,200,500,100,NA,0,wca_dist,
Austria,1999-2000,Agricultural area ,Total area,AUT,j,NA,500,1000,100,NA,0,wca_dist,
Austria,1999-2000,Agricultural area ,Total area,AUT,k,NA,1000,,100,NA,0,wca_dist,
Belgium,1999-2000,Agricultural area ,Total area,BEL,a,NA,0,1,0,2,0,wca_dist,
Belgium,1999-2000,Agricultural area ,Total area,BEL,b,0.867688081,1,2,0,2,100,wca_dist,
Belgium,1999-2000,Agricultural area ,Total area,BEL,c,2.162912292,2,5,2,4,100,wca_dist,
Belgium,1999-2000,Agricultural area ,Total area,BEL,d,4.406425658,5,10,5,9,100,wca_dist,
Belgium,1999-2000,Agricultural area ,Total area,BEL,e,10.76549994,10,20,10,19,100,wca_dist,
Belgium,1999-2000,Agricultural area ,Total area,BEL,f,38.62263278,20,50,20,29,100,wca_dist,
Belgium,1999-2000,Agricultural area ,Total area,BEL,f,38.62263278,20,50,30,49,100,wca_dist,
Belgium,1999-2000,Agricultural area ,Total area,BEL,g,29.79646477,50,100,50,99,100,wca_dist,
Belgium,1999-2000,Agricultural area ,Total area,BEL,h,13.37837648,100,200,100,NA,100,wca_dist,
Belgium,1999-2000,Agricultural area ,Total area,BEL,i,NA,200,500,100,NA,0,wca_dist,
Belgium,1999-2000,Agricultural area ,Total area,BEL,j,NA,500,1000,100,NA,0,wca_dist,
Belgium,1999-2000,Agricultural area ,Total area,BEL,k,NA,1000,,100,NA,0,wca_dist,
Bulgaria,2003,Agricultural area ,Agricultural area ,BGR,a,6.631089688,0,1,0,2,100,wca_dist,
Bulgaria,2003,Agricultural area ,Agricultural area ,BGR,b,NA,1,2,0,2,0,wca_dist,
Bulgaria,2003,Agricultural area ,Agricultural area ,BGR,c,8.328455844,2,5,2,4,100,wca_dist,
Bulgaria,2003,Agricultural area ,Agricultural area ,BGR,d,NA,5,10,5,9,100,wca_dist,
Bulgaria,2003,Agricultural area ,Agricultural area ,BGR,e,NA,10,20,10,19,100,wca_dist,
Bulgaria,2003,Agricultural area ,Agricultural area ,BGR,f,6.579445688,20,50,20,29,100,wca_dist,
Bulgaria,2003,Agricultural area ,Agricultural area ,BGR,f,6.579445688,20,50,30,49,100,wca_dist,
Bulgaria,2003,Agricultural area ,Agricultural area ,BGR,g,78.46100878,50,100,50,99,100,wca_dist,
Bulgaria,2003,Agricultural area ,Agricultural area ,BGR,h,NA,100,200,100,NA,100,wca_dist,
Bulgaria,2003,Agricultural area ,Agricultural area ,BGR,i,NA,200,500,100,NA,0,wca_dist,
Bulgaria,2003,Agricultural area ,Agricultural area ,BGR,j,NA,500,1000,100,NA,0,wca_dist,
Bulgaria,2003,Agricultural area ,Agricultural area ,BGR,k,NA,1000,,100,NA,0,wca_dist,
Czech Republic,2000,Agricultural area ,Agricultural area ,CZE,a,0.141003654,0,1,0,2,30.1,wca_dist,
Czech Republic,2000,Agricultural area ,Agricultural area ,CZE,b,0.327297561,1,2,0,2,69.9,wca_dist,
